City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,haiku-pauwela,20.9219,-156.3051,27.01,48,20,10.29,US,1704156028
165,kirakira,-10.4544,161.9205,30.75,68,100,3.05,SB,1704156028
166,kabansk,52.0486,106.6528,-9.32,91,95,1.69,RU,1704156028
167,daru,-9.0763,143.2092,30.67,66,100,2.47,PG,1704156028
168,gevrai,19.2667,75.75,19.24,50,80,2.21,IN,1704156029
169,abepura,-2.6333,140.5833,29.45,74,82,1.54,ID,1704156029
170,palmas,-10.2128,-48.3603,25.93,89,75,4.63,BR,1704156029
171,niafunke,15.9322,-3.9906,22.46,14,97,3.99,ML,1704156029
172,mataram,-8.5833,116.1167,30.45,72,33,0.44,ID,1704156029
173,vorgashor,67.5833,63.95,-32.45,100,9,1.58,RU,1704156029
174,punta arenas,-53.15,-70.9167,18.06,55,75,7.72,CL,1704156030
175,fale old settlement,-9.3852,-171.2468,28.69,70,100,0.79,TK,1704156030
176,atafu village,-8.5421,-172.5159,28.76,68,100,1.31,TK,1704156030
177,chinsali,-10.5414,32.0816,17.63,99,100,0.99,ZM,1704156030
178,cruzeiro do sul,-29.5128,-51.9853,24.71,78,100,2.26,BR,1704156030
179,samarinda,-0.5,117.15,27.24,91,68,0.56,ID,1704156031
180,severo-yeniseyskiy,60.3725,93.0408,-30.24,100,89,1.79,RU,1704156031
181,callao,-12.0667,-77.15,25.4,69,75,6.17,PE,1704156031
182,tual,-5.6667,132.75,28.72,74,100,1.99,ID,1704156031
183,mendoza,-32.8908,-68.8272,29.74,26,20,0.0,AR,1704156028
184,sabha,27.0377,14.4283,13.34,40,49,3.12,LY,1704156031
185,chandbali,20.7833,86.7667,16.4,63,0,1.8,IN,1704156032
186,susuman,62.7833,148.1667,-34.45,98,100,0.89,RU,1704156032
187,banff,51.1762,-115.5698,1.57,59,99,3.09,CA,1704156032
188,aschau im chiemgau,47.7667,12.3167,1.26,76,100,2.7,DE,1704156032
189,mossel bay,-34.1831,22.146,16.96,91,12,7.19,ZA,1704156032
190,sorong,-0.8833,131.25,28.58,74,100,0.36,ID,1704156032
191,greymouth,-42.4667,171.2,17.09,67,100,3.44,NZ,1704156033
192,usinsk,65.9939,57.5281,-27.74,96,6,4.47,RU,1704156033
193,ad dilam,23.9915,47.1627,15.23,67,0,3.3,SA,1704156033
194,latakia,35.5148,35.7768,12.1,54,100,2.99,SY,1704156033
195,jamestown,42.097,-79.2353,-0.23,98,100,2.68,US,1704156033
196,melekeok village,7.4957,134.6367,29.31,79,75,2.06,PW,1704156033
197,novo aripuana,-5.1206,-60.3797,27.22,76,97,0.54,BR,1704156034
198,arteche,12.2645,125.4048,28.47,72,99,3.84,PH,1704156034
199,westport,41.1415,-73.3579,4.86,63,100,2.57,US,1704156034
200,yeppoon,-23.1333,150.7333,27.88,72,41,2.55,AU,1704156034
201,raton,36.9034,-104.4391,4.19,51,0,1.54,US,1704156034
202,port macquarie,-31.4333,152.9167,26.05,69,84,4.88,AU,1704155754
203,selkirk,50.1436,-96.8845,-3.24,89,85,0.45,CA,1704156035
204,ataq,14.5377,46.8319,16.29,85,12,1.5,YE,1704156035
205,dunedin,-45.8742,170.5036,12.67,91,100,1.79,NZ,1704156035
206,ndikinimeki,4.7667,10.8333,19.26,99,24,1.64,CM,1704156035
207,wanning,18.8003,110.3967,22.95,85,98,2.65,CN,1704156035
208,kyshtovka,56.555,76.6271,0.19,98,100,4.92,RU,1704156035
209,luderitz,-26.6481,15.1594,17.8,95,19,1.74,NA,1704156035
210,yatou,37.15,122.3833,0.99,65,12,1.75,CN,1704156036
211,quinhamel,11.8833,-15.85,23.14,79,100,3.92,GW,1704156036
212,olyokminsk,60.3736,120.4264,-14.04,97,100,1.41,RU,1704156036
213,nar'yan-mar,67.6713,53.087,-28.27,99,72,2.24,RU,1704156036
214,sainte-suzanne,-20.9061,55.6089,25.12,94,75,5.14,RE,1704156036
215,kuta,-8.7233,115.1723,28.97,83,20,1.54,ID,1704156036
216,fort mcmurray,56.7268,-111.381,-6.23,79,100,2.57,CA,1704155796
217,dar chioukh,34.8964,3.4854,5.24,82,0,3.27,DZ,1704156037
218,namibe,-15.1961,12.1522,22.06,66,10,4.89,AO,1704156037
219,hilo,19.7297,-155.09,26.85,76,20,5.66,US,1704155755
220,alice springs,-23.7,133.8833,33.75,13,3,4.12,AU,1704156037
221,nolinsk,57.5596,49.9363,-26.5,97,100,1.85,RU,1704156038
222,saint-joseph,-21.3667,55.6167,24.21,87,100,1.59,RE,1704156038
223,dakhla,23.6848,-15.958,18.55,66,0,6.18,EH,1704156038
224,souillac,-20.5167,57.5167,23.21,94,75,2.57,MU,1704156038
225,newman,37.3138,-121.0208,15.03,77,0,1.34,US,1704156038
226,malmberget,67.1753,20.6549,-32.69,68,100,0.0,SE,1704156038
227,i-n-salah,27.1935,2.4607,15.34,23,10,3.95,DZ,1704156039
228,la'ie,21.6477,-157.9253,25.98,82,1,4.92,US,1704156039
229,ancud,-41.8697,-73.8203,13.35,84,100,1.56,CL,1704156039
230,mota del cuervo,39.5101,-2.8738,4.78,77,87,3.3,ES,1704156039
231,taksimo,56.3444,114.8794,-18.72,97,100,0.61,RU,1704156039
232,cabo san lucas,22.8909,-109.9124,24.17,72,100,2.06,MX,1704156145
233,adam,22.3756,57.5233,17.27,82,0,3.46,OM,1704156039
234,nishinoomote,30.7333,131.0,14.31,76,75,1.54,JP,1704156040
235,charlotte amalie,18.3419,-64.9307,25.85,78,100,6.17,VI,1704155907
236,chingirlau,51.095,54.0814,-8.94,81,100,5.3,KZ,1704156040
237,winnemucca,40.973,-117.7357,9.03,43,0,1.54,US,1704156040
238,mount gambier,-37.8333,140.7667,23.21,60,100,4.86,AU,1704156040
239,kenai,60.5544,-151.2583,-3.97,74,0,7.72,US,1704156040
240,an nuhud,12.7,28.4333,15.94,29,5,5.61,SD,1704156041
241,kirensk,57.7853,108.1119,-12.24,89,100,2.68,RU,1704156041
242,sao joao da barra,-21.6403,-41.0511,22.05,92,100,2.33,BR,1704156041
243,n'djamena,12.1067,15.0444,18.98,37,100,1.54,TD,1704156041
244,acarau,-2.8856,-40.12,26.31,76,100,0.86,BR,1704155831
